ensg	entrezID	symbol	hgnc_symbol	OMIM	uniprotID	DrugBank
ENSG00000252832	NA	RNU6-1212P	RNU6-1212P	NA	NA	NA
ENSG00000120594	84898	PLXDC2	PLXDC2	606827	Q6UX71	NA
ENSG00000238246	NA	RP11-575A19.2	NA	NA	NA	NA
ENSG00000228339	NA	AMD1P1	AMD1P1	NA	NA	NA
ENSG00000265372	100616383	MIR4675	MIR4675	NA	NA	NA
ENSG00000235940	NA	MTND1P21	MTND1P21	NA	NA	NA
ENSG00000230112	NA	RP11-56H7.2	NA	NA	NA	NA
ENSG00000148444	23412	COMMD3	COMMD3	NA	Q9UBI1	NA
ENSG00000269897	100532731	COMMD3-BMI1	COMMD3-BMI1	164831	NA	NA
ENSG00000168283	648	BMI1	BMI1	164831	P35226	NA
ENSG00000272516	NA	RP11-573G6.9	NA	NA	NA	NA
ENSG00000271981	NA	RP11-573G6.8	NA	NA	NA	NA
ENSG00000272366	NA	RP11-573G6.10	NA	NA	NA	NA
ENSG00000077327	9576	SPAG6	SPAG6	605730	O75602	NA
ENSG00000221221	NA	AL139815.1	NA	NA	NA	NA
ENSG00000148450	22921	MSRB2	MSRB2	613782	Q9Y3D2	NA
ENSG00000264574	100616217	MIR1254-2	MIR1254-2	NA	NA	NA
ENSG00000238515	NA	snoU13	NA	NA	NA	NA
ENSG00000261489	NA	CTD-2515H24.3	NA	NA	NA	NA
ENSG00000261265	NA	CTD-2515H24.4	NA	NA	NA	NA
ENSG00000240874	NA	CTD-2515H24.1	NA	NA	NA	NA
ENSG00000137878	100820829	GCOM1	GCOM1	614071	NA	NA
ENSG00000263155	100820829	MYZAP	MYZAP	614071	P0CAP1	NA
ENSG00000255529	145781	POLR2M	POLR2M	606485	P0CAP2	NA
ENSG00000261219	NA	RP11-344A16.2	NA	NA	NA	NA
ENSG00000128918	101928635	ALDH1A2	ALDH1A2	603687	O94788	DB00157:DB00162:DB00755
ENSG00000103569	366	AQP9	AQP9	602914	O43315	NA
ENSG00000259651	NA	CTD-2330J20.1	NA	NA	NA	NA
ENSG00000259626	NA	RP11-925D8.2	NA	NA	NA	NA
ENSG00000259600	NA	RP11-925D8.3	NA	NA	NA	NA
ENSG00000259379	NA	RP11-925D8.5	NA	NA	NA	NA
ENSG00000259671	NA	RP11-925D8.6	NA	NA	NA	NA
ENSG00000240934	NA	RP11-925D8.1	NA	NA	NA	NA
ENSG00000166035	3990	LIPC	LIPC	151670	P11150	NA
ENSG00000259293	101928694	RP11-355N15.1	NA	NA	NA	NA
ENSG00000259476	101928668	RP11-50C13.2	NA	NA	NA	NA
ENSG00000259250	NA	RP11-50C13.1	NA	NA	NA	NA
ENSG00000137845	102	ADAM10	ADAM10	602192	O14672	DB04991
ENSG00000239100	NA	snoU13	NA	NA	NA	NA
ENSG00000259173	NA	RP11-30K9.7	NA	NA	NA	NA
ENSG00000200318	NA	U3	NA	NA	NA	NA
ENSG00000245975	101928725	RP11-30K9.6	NA	NA	NA	NA
ENSG00000128923	54629	FAM63B	FAM63B	NA	Q8NBR6	NA
ENSG00000259353	NA	RP11-30K9.5	NA	NA	NA	NA
ENSG00000259738	NA	ZNF444P1	ZNF444P1	NA	NA	NA
ENSG00000157450	54778	RNF111	RNF111	605840	Q6ZNA4	NA
ENSG00000242747	NA	RP11-30K9.1	NA	NA	NA	NA
ENSG00000137776	79811	SLTM	SLTM	NA	Q9NWH9	NA
ENSG00000225798	NA	AC025918.2	NA	NA	NA	NA
ENSG00000259393	NA	RP11-313H3.1	NA	NA	NA	NA
ENSG00000241640	NA	RP11-59H7.1	NA	NA	NA	NA
ENSG00000157456	9133	CCNB2	CCNB2	602755	O95067	NA
ENSG00000259732	NA	RP11-59H7.3	NA	NA	NA	NA
ENSG00000157483	4643	MYO1E	MYO1E	601479	Q12965	DB03366
ENSG00000268327	NA	C15ORF31	NA	NA	Q13653	NA
ENSG00000221096	NA	AC092757.1	NA	NA	NA	NA
ENSG00000253030	100313886	MIR2116	MIR2116	NA	NA	NA
