Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.twoside	Blood	8434	38	0.99999999995597	1	ENSG00000233355:ENSG00000091483:ENSG00000117009:ENSG00000203668:ENSG00000174371:ENSG00000235655:ENSG00000154518:ENSG00000144320:ENSG00000155636:ENSG00000180228:ENSG00000204311:ENSG00000270956:ENSG00000270277:ENSG00000270574:ENSG00000145349:ENSG00000112297:ENSG00000164494:ENSG00000025796:ENSG00000080546:ENSG00000183137:ENSG00000104613:ENSG00000147443:ENSG00000240291:ENSG00000241058:ENSG00000120594:ENSG00000148444:ENSG00000168283:ENSG00000148450:ENSG00000263155:ENSG00000255529:ENSG00000103569:ENSG00000128923:ENSG00000137776:ENSG00000157456:ENSG00000157483:ENSG00000259674:ENSG00000169021:ENSG00000105176
DEG.twoside	Blood_Vessel	4404	22	0.999968160338001	1	ENSG00000203668:ENSG00000180287:ENSG00000144320:ENSG00000163364:ENSG00000145349:ENSG00000180801:ENSG00000112297:ENSG00000025796:ENSG00000135587:ENSG00000156011:ENSG00000104611:ENSG00000061337:ENSG00000120594:ENSG00000168283:ENSG00000263155:ENSG00000255529:ENSG00000103569:ENSG00000128923:ENSG00000157456:ENSG00000259732:ENSG00000157483:ENSG00000173482
DEG.twoside	Brain	8711	32	0.999999999999996	1	ENSG00000182901:ENSG00000225554:ENSG00000203668:ENSG00000180287:ENSG00000224525:ENSG00000235655:ENSG00000128656:ENSG00000079156:ENSG00000223960:ENSG00000180801:ENSG00000164494:ENSG00000025796:ENSG00000183137:ENSG00000185250:ENSG00000135587:ENSG00000156011:ENSG00000061337:ENSG00000165997:ENSG00000120594:ENSG00000263155:ENSG00000259250:ENSG00000245975:ENSG00000157483:ENSG00000157470:ENSG00000182718:ENSG00000173482:ENSG00000267264:ENSG00000267014:ENSG00000264515:ENSG00000266248:ENSG00000187135:ENSG00000266910
DEG.twoside	Breast	2965	10	0.999995912200107	1	ENSG00000224525:ENSG00000163364:ENSG00000224577:ENSG00000079156:ENSG00000156011:ENSG00000175445:ENSG00000263155:ENSG00000103569:ENSG00000157456:ENSG00000173482
DEG.twoside	Cervix_Uteri	3052	12	0.999977898148603	1	ENSG00000144320:ENSG00000128714:ENSG00000227098:ENSG00000236501:ENSG00000155636:ENSG00000079156:ENSG00000223960:ENSG00000135587:ENSG00000156011:ENSG00000255529:ENSG00000128918:ENSG00000157483
DEG.twoside	Colon	2952	13	0.999874252883609	1	ENSG00000133019:ENSG00000128656:ENSG00000128714:ENSG00000272551:ENSG00000163364:ENSG00000156011:ENSG00000147408:ENSG00000061337:ENSG00000120594:ENSG00000128918:ENSG00000103569:ENSG00000259674:ENSG00000140297
DEG.twoside	Esophagus	2926	9	0.999998487361024	1	ENSG00000133019:ENSG00000163364:ENSG00000079156:ENSG00000112297:ENSG00000156011:ENSG00000104611:ENSG00000263155:ENSG00000103569:ENSG00000140297
DEG.twoside	Fallopian_Tube	486	0	1	1	
DEG.twoside	Heart	9960	43	0.999999999999968	1	ENSG00000203668:ENSG00000235655:ENSG00000128656:ENSG00000144320:ENSG00000155636:ENSG00000079156:ENSG00000223960:ENSG00000180228:ENSG00000204311:ENSG00000180801:ENSG00000025796:ENSG00000118690:ENSG00000080546:ENSG00000271730:ENSG00000183137:ENSG00000135587:ENSG00000135596:ENSG00000104611:ENSG00000253270:ENSG00000104613:ENSG00000175445:ENSG00000061337:ENSG00000147443:ENSG00000130227:ENSG00000240291:ENSG00000241058:ENSG00000165997:ENSG00000120594:ENSG00000168283:ENSG00000148450:ENSG00000263155:ENSG00000255529:ENSG00000128918:ENSG00000103569:ENSG00000259250:ENSG00000137845:ENSG00000128923:ENSG00000157450:ENSG00000137776:ENSG00000157483:ENSG00000267683:ENSG00000105171:ENSG00000105176
DEG.twoside	Kidney	6760	29	0.999999998307988	1	ENSG00000233355:ENSG00000117009:ENSG00000203668:ENSG00000128656:ENSG00000144320:ENSG00000163364:ENSG00000229941:ENSG00000223960:ENSG00000145349:ENSG00000025796:ENSG00000118690:ENSG00000080546:ENSG00000271730:ENSG00000156011:ENSG00000147408:ENSG00000175445:ENSG00000130227:ENSG00000165997:ENSG00000120594:ENSG00000148444:ENSG00000168283:ENSG00000263155:ENSG00000255529:ENSG00000128918:ENSG00000103569:ENSG00000166035:ENSG00000157450:ENSG00000157456:ENSG00000105176
DEG.twoside	Liver	9510	40	0.999999999999947	1	ENSG00000117009:ENSG00000203668:ENSG00000235655:ENSG00000144320:ENSG00000128655:ENSG00000155636:ENSG00000079156:ENSG00000223960:ENSG00000180228:ENSG00000204311:ENSG00000145349:ENSG00000180801:ENSG00000112297:ENSG00000025796:ENSG00000080546:ENSG00000183137:ENSG00000135587:ENSG00000135596:ENSG00000104611:ENSG00000147408:ENSG00000147443:ENSG00000130227:ENSG00000240291:ENSG00000225527:ENSG00000241058:ENSG00000120594:ENSG00000148444:ENSG00000168283:ENSG00000255529:ENSG00000128918:ENSG00000103569:ENSG00000166035:ENSG00000137845:ENSG00000128923:ENSG00000157450:ENSG00000137776:ENSG00000140307:ENSG00000182718:ENSG00000173482:ENSG00000105176
DEG.twoside	Lung	5100	20	0.999999965703488	1	ENSG00000117009:ENSG00000054277:ENSG00000224525:ENSG00000223960:ENSG00000270277:ENSG00000180801:ENSG00000118690:ENSG00000185250:ENSG00000104611:ENSG00000175445:ENSG00000061337:ENSG00000147443:ENSG00000165997:ENSG00000233968:ENSG00000120594:ENSG00000077327:ENSG00000263155:ENSG00000103569:ENSG00000259250:ENSG00000173482
DEG.twoside	Muscle	7979	30	0.999999999999754	1	ENSG00000203668:ENSG00000235655:ENSG00000128656:ENSG00000128655:ENSG00000155636:ENSG00000079156:ENSG00000223960:ENSG00000204311:ENSG00000145349:ENSG00000025796:ENSG00000080546:ENSG00000183137:ENSG00000135587:ENSG00000135596:ENSG00000147408:ENSG00000104613:ENSG00000175445:ENSG00000061337:ENSG00000240291:ENSG00000241058:ENSG00000165997:ENSG00000120594:ENSG00000263155:ENSG00000128918:ENSG00000259250:ENSG00000137845:ENSG00000128923:ENSG00000157483:ENSG00000267423:ENSG00000266910
