# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12577
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Mammary_Gland_Virgin.B_cell_...3      COVAR   12577    -0.030864   -0.0039076     0.079633      0.65083 Mammary_Gland_Virgin.B_cell_Jchain_high
Mammary_Gland_Virgin.Dendrit...1      COVAR   12577    -0.001196  -0.00014578      0.11331      0.50421 Mammary_Gland_Virgin.Dendritic_cell_Cst3_high
Mammary_Gland_Virgin.Dendrit...2      COVAR   12577     -0.13482    -0.015912      0.11026      0.88927 Mammary_Gland_Virgin.Dendritic_cell_Fscn1_high
Mammary_Gland_Virgin.Dendrit...3      COVAR   12577     -0.13888    -0.013762      0.11715      0.88206 Mammary_Gland_Virgin.Dendritic_cell_Siglech_high
Mammary_Gland_Virgin.Dividin...       COVAR   12577    -0.080381    -0.011798     0.089873      0.81443 Mammary_Gland_Virgin.Dividing_cell
Mammary_Gland_Virgin.Luminal...1      COVAR   12577    -0.016466   -0.0024293      0.09358      0.56984 Mammary_Gland_Virgin.Luminal_cell_Krt19_high_
Mammary_Gland_Virgin.Luminal...2      COVAR   12577      0.11631     0.016397     0.097084      0.11546 Mammary_Gland_Virgin.Luminal_progenitor
Mammary_Gland_Virgin.Macroph...1      COVAR   12577     0.082391     0.009194      0.11336      0.23369 Mammary_Gland_Virgin.Macrophage_C1qc_high
Mammary_Gland_Virgin.Macroph...2      COVAR   12577    0.0092363    0.0010736      0.12419      0.47036 Mammary_Gland_Virgin.Macrophage_Lyz1_high
Mammary_Gland_Virgin.NK_cell          COVAR   12577     -0.10026   -0.0097048      0.13294      0.77462 Mammary_Gland_Virgin.NK_cell
Mammary_Gland_Virgin.Stem_an...       COVAR   12577    -0.058691   -0.0059516      0.12965      0.67461 Mammary_Gland_Virgin.Stem_and_progenitor_cell
Mammary_Gland_Virgin.Stromal...1      COVAR   12577     0.041487    0.0046422      0.11673      0.36115 Mammary_Gland_Virgin.Stromal_cell_Col3a1_high
Mammary_Gland_Virgin.Stromal...2      COVAR   12577    -0.031938   -0.0040562     0.096556      0.62959 Mammary_Gland_Virgin.Stromal_cell_Pi16_high
Mammary_Gland_Virgin.T_cell_...1      COVAR   12577      -0.1271    -0.010468      0.16103      0.78502 Mammary_Gland_Virgin.T_cell_Cd8b1_high
Mammary_Gland_Virgin.T_cell_...2      COVAR   12577     -0.14593    -0.012832      0.14916      0.83604 Mammary_Gland_Virgin.T_cell_Ly6c2_high
Mammary_Gland_Virgin.T.cells...       COVAR   12577     -0.23672    -0.023877      0.13555      0.95961 Mammary_Gland_Virgin.T.cells_Ctla4_high
