# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12577
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Kidney.Neutrophil_progenitor...       COVAR   12577    -0.001531  -0.00027476     0.048419      0.51261 Kidney.Neutrophil_progenitor_S100a8_high
Kidney.Proximal_tubule_brush...       COVAR   12577    -0.075186   -0.0097922     0.084471      0.81328 Kidney.Proximal_tubule_brush_border_cell
Kidney.Proximal_tubule_cell_...1      COVAR   12577    -0.057011   -0.0067563     0.090912       0.7347 Kidney.Proximal_tubule_cell_Cyp4a14_high
Kidney.Proximal_tubule_cell_...2      COVAR   12577    -0.007115  -0.00089029     0.089439       0.5317 Kidney.Proximal_tubule_cell_Osgin1_high
Kidney.S1_proximal_tubule_ce...       COVAR   12577    -0.029591     -0.00374     0.088418      0.63106 Kidney.S1_proximal_tubule_cells
Kidney.S3_proximal_tubule_ce...       COVAR   12577    -0.011254   -0.0017227      0.07419      0.56028 Kidney.S3_proximal_tubule_cells
Kidney.Stromal_cell_Ankrd1_h...       COVAR   12577   -0.0033411  -0.00033594     0.098029      0.51359 Kidney.Stromal_cell_Ankrd1_high
Kidney.Stromal_cell_Cxcl10_h...       COVAR   12577      0.10357     0.013379     0.081359      0.10152 Kidney.Stromal_cell_Cxcl10_high
Kidney.Stromal_cell_Dcn_high          COVAR   12577      0.05681    0.0074072     0.090167      0.26434 Kidney.Stromal_cell_Dcn_high
Kidney.Stromal_cell_Mgp_high          COVAR   12577     0.086282     0.011554     0.073062      0.11883 Kidney.Stromal_cell_Mgp_high
Kidney.Stromal_cell_Ptgds_hi...       COVAR   12577     0.030769    0.0033569      0.12436       0.4023 Kidney.Stromal_cell_Ptgds_high
Kidney.T_cell                         COVAR   12577     -0.17756    -0.018406      0.12791      0.91745 Kidney.T_cell
Kidney.Thick_ascending_limb_...       COVAR   12577     0.060827     0.006144      0.12261      0.30991 Kidney.Thick_ascending_limb_of_the_loop_of_Henle
Kidney.Ureteric_epithelium            COVAR   12577      0.12588     0.017422     0.085578     0.070676 Kidney.Ureteric_epithelium
Liver.B_cell_Fcmr_high                COVAR   12577    -0.036018   -0.0034476      0.12156      0.61649 Liver.B_cell_Fcmr_high
Liver.B_cell_Jchain_high              COVAR   12577    -0.067829   -0.0079033     0.094983      0.76242 Liver.B_cell_Jchain_high
Liver.Dendritic_cell_Cst3_hi...       COVAR   12577    -0.015599   -0.0015653      0.13286      0.54673 Liver.Dendritic_cell_Cst3_high
Liver.Dendritic_cell_Siglech...       COVAR   12577     0.044046    0.0044645      0.11024      0.34475 Liver.Dendritic_cell_Siglech_high
Liver.Endothelial_cell                COVAR   12577     0.022829    0.0019651      0.13034      0.43048 Liver.Endothelial_cell
Liver.Epithelia_cell_Spp1_hi...       COVAR   12577     0.091993    0.0085293       0.1363      0.24986 Liver.Epithelia_cell_Spp1_high
Liver.Epithelial_cell                 COVAR   12577      0.13005     0.020818     0.065705     0.023904 Liver.Epithelial_cell
Liver.Erythroblast_Hbb.bs_hi...       COVAR   12577      0.10002    0.0085033      0.13454      0.22861 Liver.Erythroblast_Hbb.bs_high
Liver.Erythroblast_Hbb.bt_hi...       COVAR   12577    -0.079342   -0.0093961     0.079246      0.84163 Liver.Erythroblast_Hbb.bt_high
Liver.Granulocyte                     COVAR   12577    -0.026963   -0.0026223      0.11305      0.59425 Liver.Granulocyte
Liver.Hepatocyte_Fabp1_high           COVAR   12577    -0.053086   -0.0066698     0.082246      0.74068 Liver.Hepatocyte_Fabp1_high
Liver.Hepatocyte_mt.Nd4_high          COVAR   12577    -0.028971    -0.005823     0.042288      0.75335 Liver.Hepatocyte_mt.Nd4_high
Liver.Kuppfer_cell                    COVAR   12577     0.067316    0.0069456      0.10669      0.26405 Liver.Kuppfer_cell
Liver.Macrophage_Chil3_high           COVAR   12577    -0.051779   -0.0050067      0.12745      0.65772 Liver.Macrophage_Chil3_high
Liver.Neutrophil_Ngp_high             COVAR   12577    -0.047537   -0.0056186     0.080258      0.72317 Liver.Neutrophil_Ngp_high
Liver.Pericentral                     COVAR   12577    -0.030767   -0.0037521     0.084364      0.64233 Liver.Pericentral
Liver.Periportal                      COVAR   12577     0.037518    0.0068606     0.051673      0.23391 Liver.Periportal
Liver.Stromal_cell                    COVAR   12577      0.19536     0.023681     0.083661    0.0097767 Liver.Stromal_cell
Liver.T_cell_Gzma_high                COVAR   12577    -0.037596   -0.0036531        0.114      0.62922 Liver.T_cell_Gzma_high
Liver.T_cell_Trbc2_high               COVAR   12577      0.14263     0.013209      0.14034      0.15475 Liver.T_cell_Trbc2_high
Lung.Alveolar_bipotent_proge...       COVAR   12577    -0.024356   -0.0033279     0.082842      0.61562 Lung.Alveolar_bipotent_progenitor
Lung.Alveolar_macrophage_Ear...       COVAR   12577      0.01214    0.0012264      0.13057      0.46296 Lung.Alveolar_macrophage_Ear2_high
Lung.Alveolar_macrophage_Pcl...       COVAR   12577     0.090665     0.011211     0.097962      0.17736 Lung.Alveolar_macrophage_Pclaf_high
Lung.AT1_Cell                         COVAR   12577      0.15221     0.016102      0.10458     0.072789 Lung.AT1_Cell
Lung.AT2_Cell                         COVAR   12577    -0.029833   -0.0030156       0.1264      0.59329 Lung.AT2_Cell
Lung.B_Cell                           COVAR   12577     0.058599    0.0055763      0.13645       0.3338 Lung.B_Cell
Lung.Ciliated_cell                    COVAR   12577    -0.032451   -0.0039521     0.091199      0.63901 Lung.Ciliated_cell
Lung.Clara_Cell                       COVAR   12577    0.0087788   0.00096484      0.11482      0.46953 Lung.Clara_Cell
Lung.Conventional_dendritic_...1      COVAR   12577     -0.19441    -0.016759      0.13674      0.92244 Lung.Conventional_dendritic_cell_Gngt2_high
Lung.Conventional_dendritic_...2      COVAR   12577   -0.0034841   -0.0004636     0.076435      0.51818 Lung.Conventional_dendritic_cell_H2.M2_high
Lung.Conventional_dendritic_...3      COVAR   12577     0.022369    0.0025194      0.10671      0.41698 Lung.Conventional_dendritic_cell_Mgl2_high
Lung.Conventional_dendritic_...4      COVAR   12577   -0.0035893  -0.00046945     0.089446        0.516 Lung.Conventional_dendritic_cell_Tubb5_high
Lung.Dendritic_cell_Naaa_high         COVAR   12577     -0.04068   -0.0043563      0.12203      0.63056 Lung.Dendritic_cell_Naaa_high
Lung.Dividing_cells                   COVAR   12577    -0.027741   -0.0039981     0.092012      0.61848 Lung.Dividing_cells
Lung.Dividing_dendritic_cells         COVAR   12577    0.0090745    0.0013017     0.084606      0.45729 Lung.Dividing_dendritic_cells
Lung.Dividing_T_cells                 COVAR   12577    -0.070912   -0.0095889     0.098346      0.76455 Lung.Dividing_T_cells
Lung.Endothelial_cell_Kdr_hi...       COVAR   12577    -0.041253   -0.0039956      0.10625      0.65108 Lung.Endothelial_cell_Kdr_high
Lung.Endothelial_cell_Tmem10...       COVAR   12577     0.018961    0.0018253        0.117      0.43563 Lung.Endothelial_cell_Tmem100_high
Lung.Endothelial_cells_Vwf_h...       COVAR   12577      0.13407     0.017337     0.087542     0.062835 Lung.Endothelial_cells_Vwf_high
Lung.Eosinophil_granulocyte           COVAR   12577     -0.12248    -0.012939     0.087277      0.91974 Lung.Eosinophil_granulocyte
Lung.Ig.producing_B_cell              COVAR   12577     -0.00184  -0.00036511     0.043336      0.51693 Lung.Ig.producing_B_cell
Lung.Interstitial_macrophage          COVAR   12577     0.025255    0.0024468      0.13273      0.42455 Lung.Interstitial_macrophage
Lung.Monocyte_progenitor_cell         COVAR   12577   -0.0019448  -0.00036388     0.065508      0.51184 Lung.Monocyte_progenitor_cell
Lung.Neutrophil_granulocyte           COVAR   12577    -0.039742   -0.0047052     0.091808      0.66745 Lung.Neutrophil_granulocyte
