# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12577
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neonatal_Rib.Neutrophil_Elan...      COVAR   12577   -0.0025093  -0.00039537      0.09048      0.51106 Neonatal_Rib.Neutrophil_Elane_high
Neonatal_Rib.Oligodendrocyte         COVAR   12577    -0.040699   -0.0060437       0.0737       0.7096 Neonatal_Rib.Oligodendrocyte
Neonatal_Rib.Osteoblast              COVAR   12577     -0.14392    -0.021238     0.098031      0.92894 Neonatal_Rib.Osteoblast
Neonatal_Rib.Osteoclast              COVAR   12577   -0.0093713   -0.0016674     0.071438      0.55218 Neonatal_Rib.Osteoclast
Neonatal_Rib.Stromal_cell_Ac...      COVAR   12577     -0.08451   -0.0096223      0.15959      0.70178 Neonatal_Rib.Stromal_cell_Acta1_high
Neonatal_Rib.Stromal_cell_Tn...      COVAR   12577     -0.13415    -0.014099      0.15387      0.80833 Neonatal_Rib.Stromal_cell_Tnmd_high
Neonatal_Skin.Adipocyte              COVAR   12577      0.02159    0.0027553      0.10645      0.41964 Neonatal_Skin.Adipocyte
Neonatal_Skin.Brown_adipose_...1     COVAR   12577    -0.032838   -0.0059978      0.06689      0.68826 Neonatal_Skin.Brown_adipose_tissue_Cidea_high
Neonatal_Skin.Brown_adipose_...2     COVAR   12577   0.00091635   0.00013698     0.090818      0.49597 Neonatal_Skin.Brown_adipose_tissue_Cox8b_high
Neonatal_Skin.Brown_adipose_...3     COVAR   12577    -0.063334   -0.0094032     0.076571      0.79591 Neonatal_Skin.Brown_adipose_tissue_mt.Nd5_high
Neonatal_Skin.Dividing_cell          COVAR   12577    -0.071811   -0.0074077      0.15692      0.67639 Neonatal_Skin.Dividing_cell
Neonatal_Skin.Endothelial_ce...      COVAR   12577    -0.075524   -0.0088193      0.12276       0.7308 Neonatal_Skin.Endothelial_cell
Neonatal_Skin.Epithelial_cell        COVAR   12577     -0.11079    -0.010472      0.15952      0.75633 Neonatal_Skin.Epithelial_cell
Neonatal_Skin.Erythroblast           COVAR   12577   -0.0064233  -0.00065331        0.141      0.51817 Neonatal_Skin.Erythroblast
Neonatal_Skin.Keratinocyte           COVAR   12577      0.24259     0.027446      0.13234     0.033409 Neonatal_Skin.Keratinocyte
Neonatal_Skin.Lymphatic_vess...      COVAR   12577    -0.066466    -0.010323     0.081052      0.79389 Neonatal_Skin.Lymphatic_vessel_endothelial_cell
Neonatal_Skin.Macrophage_Cd7...      COVAR   12577    -0.096821    -0.015616     0.066301      0.92788 Neonatal_Skin.Macrophage_Cd74_high
Neonatal_Skin.Macrophage_Lyz...      COVAR   12577    -0.064105   -0.0076738     0.090586      0.76042 Neonatal_Skin.Macrophage_Lyz2_high
Neonatal_Skin.Macrophage_Pf4...      COVAR   12577     0.032734    0.0041074      0.10052      0.37235 Neonatal_Skin.Macrophage_Pf4_high
Neonatal_Skin.Mast_cell              COVAR   12577    -0.037429   -0.0042942      0.11367      0.62902 Neonatal_Skin.Mast_cell
Neonatal_Skin.Melanocyte             COVAR   12577     -0.19922    -0.021698      0.10929      0.96583 Neonatal_Skin.Melanocyte
Neonatal_Skin.Muscle_cell_Ac...      COVAR   12577     0.059472    0.0058335      0.13415      0.32877 Neonatal_Skin.Muscle_cell_Actc1_high
Neonatal_Skin.Muscle_cell_Lr...      COVAR   12577      0.12604     0.012628      0.16286       0.2195 Neonatal_Skin.Muscle_cell_Lrrc15_high
Neonatal_Skin.Neuron                 COVAR   12577     -0.25911    -0.025784      0.13349      0.97386 Neonatal_Skin.Neuron
Neonatal_Skin.Neutrophil             COVAR   12577    -0.025637   -0.0033573     0.072622      0.63796 Neonatal_Skin.Neutrophil
Neonatal_Skin.Osteoblast_Dlk...      COVAR   12577    -0.089561   -0.0083005      0.19132      0.68014 Neonatal_Skin.Osteoblast_Dlk1_high
Neonatal_Skin.Osteoblast_Ppi...      COVAR   12577     -0.36017    -0.032283      0.21563      0.95256 Neonatal_Skin.Osteoblast_Ppic_high
Neonatal_Skin.Smooth_muscle_...      COVAR   12577     -0.17443    -0.017216      0.14918      0.87883 Neonatal_Skin.Smooth_muscle_cell_Acta2_high
Neonatal_Skin.Stromal_cell_A...      COVAR   12577    -0.029996   -0.0031936      0.12843      0.59233 Neonatal_Skin.Stromal_cell_Akr1c18_high
Neonatal_Skin.Stromal_cell_G...      COVAR   12577     -0.24492    -0.023665      0.18692      0.90494 Neonatal_Skin.Stromal_cell_Gas6_high
