# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12577
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Fetal_Lung.Stromal_cell_Ankf...      COVAR   12577     -0.19409    -0.019967      0.23591      0.79466 Fetal_Lung.Stromal_cell_Ankfy1_high
Fetal_Lung.Stromal_cell_Ptn_...      COVAR   12577     -0.23166    -0.023627      0.23043      0.84263 Fetal_Lung.Stromal_cell_Ptn_high
Fetal_Stomache.Acinar_cell_C...      COVAR   12577       0.2289     0.025791      0.17369     0.093789 Fetal_Stomache.Acinar_cell_Ctrb1_high
Fetal_Stomache.Acinar_cell_S...      COVAR   12577      0.17877     0.019539      0.20008      0.18581 Fetal_Stomache.Acinar_cell_Spp1_high
Fetal_Stomache.Endocrine_cell        COVAR   12577     0.030371    0.0028089      0.19232      0.43726 Fetal_Stomache.Endocrine_cell
Fetal_Stomache.Endocrine_pro...      COVAR   12577     -0.28665    -0.028599      0.14238      0.97794 Fetal_Stomache.Endocrine_progenitor_cell
Fetal_Stomache.Epithelial_ce...      COVAR   12577      0.61786     0.060665      0.24802    0.0063732 Fetal_Stomache.Epithelial_cell
Fetal_Stomache.Erythroblast_...1     COVAR   12577      0.14171     0.015885      0.15401      0.17876 Fetal_Stomache.Erythroblast_Car2_high
Fetal_Stomache.Erythroblast_...2     COVAR   12577     -0.28627     -0.02841      0.17407      0.94995 Fetal_Stomache.Erythroblast_Hba.x_HIGH
Fetal_Stomache.Erythroblast_...3     COVAR   12577      -0.1342    -0.011755      0.29074       0.6778 Fetal_Stomache.Erythroblast_Hbb.bs_high
Fetal_Stomache.Erythroblast_...4     COVAR   12577    -0.085555    -0.010758      0.15293      0.71206 Fetal_Stomache.Erythroblast_Klf1_high
Fetal_Stomache.Erythroblast_...5     COVAR   12577     -0.25796    -0.027584        0.127      0.97887 Fetal_Stomache.Erythroblast_Snca_high
Fetal_Stomache.Hepatocyte.Li...      COVAR   12577    -0.063885    -0.010353     0.066627      0.83117 Fetal_Stomache.Hepatocyte.Like_Cell_
Fetal_Stomache.Immunocyte_Ly...      COVAR   12577     0.021707     0.002281       0.1988      0.45653 Fetal_Stomache.Immunocyte_Lyz2_high
Fetal_Stomache.Macrophage            COVAR   12577      0.32099     0.031019      0.22276      0.07481 Fetal_Stomache.Macrophage
Fetal_Stomache.Mast_cell             COVAR   12577     -0.22417     -0.02354      0.21446      0.85203 Fetal_Stomache.Mast_cell
